姓名,地區,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,總收入,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入
王廷升,花蓮縣第01選區,男,1965,中國國民黨,57557,44.71%,*,是,10571866,2406000,4085000,4000000,80000,0,866
林國正,高雄市第09選區,男,1966,中國國民黨,70600,38.42%,*,否,12591593,2330550,4080000,6000000,176000,3300,1743
蔣乃辛,臺北市第06選區,男,1948,中國國民黨,108488,60.02%,*,是,16758275,8386100,4030000,4000000,268000,73200,975
羅致政,新北市第07選區,男,1964,民主進步黨,71207,42.81%,,否,16571769,10286204,3765000,8075,311000,2200505,985
林右昌,基隆市第01選區,男,1971,民主進步黨,84487,40.17%,,否,9844077,5385600,3675000,500000,155000,128300,177
錢薇娟,新北市第02選區,女,1971,中國國民黨,76768,39.51%,,否,13717902,4755192,3450000,5500000,0,10200,2510
林淑芬,新北市第02選區,女,1973,民主進步黨,114091,58.72%,*,是,9103281,4994460,3436050,0,300000,372213,558
廖國棟,平原原住民,男,1955,中國國民黨,26998,27.51%,*,是,11962203,4912000,3350000,3000000,700000,0,203
邱志偉,高雄市第02選區,男,1972,民主進步黨,96818,50.42%,*,否,10192209,6505612,3320000,100000,216000,50500,97
葉宜津,臺南市第01選區,女,1960,民主進步黨,120623,63.08%,*,是,10837396,6277536,3317700,475000,723000,43700,460
江惠貞,新北市第07選區,女,1963,中國國民黨,73686,44.30%,*,否,16957747,8421900,3306800,5000000,226000,2000,1047
郭玟成,高雄市第09選區,男,1955,民主進步黨,59258,32.25%,,是,7993316,4047902,3290000,100000,555200,100,114
張慶忠,新北市第08選區,男,1951,中國國民黨,101161,48.21%,*,是,6857531,2391600,3213000,1000000,250000,2000,931
呂學樟,新竹市第01選區,男,1952,中國國民黨,121848,53.27%,*,是,13431322,6626800,3188000,3000000,594000,21500,1022
李進勇,雲林縣第01選區,男,1951,民主進步黨,89213,49.55%,,否,12238734,6756100,3164248,2000000,120000,197700,686
林炳坤,澎湖縣第01選區,男,1948,無黨團結聯盟,20756,46.56%,,是,8340000,4570000,2970000,0,800000,0,0
張學舜,新竹市第01選區,男,1960,民主進步黨,95715,41.84%,,否,10555502,7501166,2923000,0,120000,11000,336
廖本煙,新北市第05選區,男,1956,民主進步黨,78651,45.68%,,否,11095353,7542700,2915000,200000,400000,37500,153
馬文君,南投縣第01選區,女,1965,中國國民黨,78083,60.26%,*,是,10762705,4409488,2751352,3000000,600000,1000,865
莊碩漢,新北市第10選區,男,1955,民主進步黨,81520,43.38%,,否,8495537,5496177,2700800,8075,150000,140218,267
盧嘉辰,新北市第10選區,男,1953,中國國民黨,89570,47.67%,*,是,9419048,3530000,2668800,3000000,203000,17100,148
黃適卓,桃園縣第04選區,男,1966,民主進步黨,73909,40.64%,,否,7553548,4684016,2610600,0,200000,58864,68
林瑩蓉,高雄市第03選區,女,1965,民主進步黨,95617,46.09%,,否,8498774,5498488,2556000,100000,308000,35800,486
孔文吉,山原原住民,男,1957,中國國民黨,31629,27.10%,*,是,7333800,1851800,2447000,3000000,30000,5000,0
陳歐珀,宜蘭縣第01選區,男,1962,民主進步黨,127303,51.69%,*,否,9670008,7116100,2273678,0,280000,0,230
江啟臣,臺中市第08選區,男,1972,中國國民黨,69136,44.77%,*,否,13567959,5666785,2262000,5500000,135000,3037,1137
蔡易餘,嘉義縣第01選區,男,1981,民主進步黨,72586,49.69%,,否,7302944,4890320,2250000,0,110000,52600,24
江玲君,高雄市第08選區,女,1975,中國國民黨,90186,44.93%,,是,13811934,6135780,2230000,4500000,936000,10000,154
陳以真,嘉義縣第02選區,女,1977,中國國民黨,70477,44.80%,,否,12059782,5754236,2192200,4000000,100000,12940,406
曹爾忠,連江縣第01選區,男,1954,中國國民黨,2361,46.68%,,是,7749348,2587000,2160000,3000000,0,2000,348
何欣純,臺中市第07選區,女,1973,民主進步黨,101006,50.30%,*,否,12027659,9761400,2085000,0,181000,0,259
吳俊立,臺東縣第01選區,男,1962,無黨籍及未經政黨推薦,19016,24.96%,,否,4870081,2830000,2020000,0,20000,0,81
劉坤鱧,臺中市第03選區,男,1966,無黨籍及未經政黨推薦,8789,5.08%,,否,4530700,2475800,2000000,0,54900,0,0
賴坤成,花蓮縣第01選區,男,1964,民主進步黨,33326,25.88%,,是,8694467,6544500,1971000,0,70000,108888,79
趙士強,臺北市第06選區,男,1960,民主進步黨,54113,29.94%,,否,7231154,3328552,1873900,2002850,0,25700,152
魏明谷,彰化縣第04選區,男,1963,民主進步黨,92085,50.23%,*,否,7672502,5688617,1860000,0,100000,23500,385
陳福海,金門縣第01選區,男,1963,親民黨,12128,32.14%,,是,3446031,1636000,1810000,0,0,0,31
彭添富,桃園縣第05選區,男,1951,民主進步黨,60887,35.13%,,否,3858329,1907200,1801000,0,120000,30000,129
林正二,平原原住民,男,1952,親民黨,13992,14.25%,*,是,2068502,282000,1780500,0,6000,0,2
高金素梅,山原原住民,女,1965,無黨團結聯盟,29520,25.29%,*,是,2153000,573000,1580000,0,0,0,0
陳進丁,彰化縣第01選區,男,1946,民主進步黨,62640,34.99%,,否,3785041,2104800,1571000,0,100000,9200,41
張國鑫,南投縣第01選區,男,1961,民主進步黨,49950,38.55%,,否,5251979,3062580,1560000,0,600000,29399,0
謝明源,臺中市第05選區,男,1952,民主進步黨,91793,40.91%,,否,7986685,6127250,1552000,0,279600,27000,835
李建昌,臺北市第04選區,男,1962,民主進步黨,78097,33.85%,,否,8164039,6285352,1521000,0,120000,237362,325
饒慶鈴,臺東縣第01選區,女,1969,中國國民黨,22553,29.60%,,否,16773417,8216200,1505000,7000000,50000,0,2217
